5	2	49.41
5	2	50.00
5	2	49.41
5	4	70.00
5	4	68.24
5	4	68.82
5	6	67.65
5	6	69.41
5	6	64.71
5	8	65.29
5	8	68.24
5	8	72.35
5	10	68.82
5	10	71.76
5	10	67.65
5	12	73.53
5	12	70.00
5	12	65.29
5	14	74.71
5	14	68.82
5	14	72.35
5	16	72.35
5	16	68.82
5	16	71.76
5	18	69.41
5	18	68.24
5	18	72.35
5	20	71.18
5	20	71.76
5	20	67.65
10	2	50.00
10	2	50.00
10	2	51.18
10	4	67.06
10	4	66.47
10	4	71.76
10	6	70.00
10	6	72.35
10	6	68.24
10	8	72.94
10	8	73.53
10	8	73.53
10	10	70.00
10	10	74.71
10	10	70.59
10	12	71.18
10	12	72.35
10	12	70.00
10	14	73.53
10	14	71.76
10	14	78.24
10	16	70.00
10	16	72.35
10	16	74.12
10	18	74.12
10	18	66.47
10	18	71.18
10	20	74.71
10	20	71.18
10	20	67.65
15	2	49.41
15	2	51.18
15	2	50.00
15	4	72.94
15	4	70.59
15	4	70.00
15	6	71.18
15	6	71.76
15	6	69.41
15	8	72.35
15	8	73.53
15	8	72.35
15	10	72.35
15	10	70.59
15	10	73.53
15	12	68.82
15	12	72.35
15	12	70.00
15	14	72.35
15	14	71.18
15	14	72.35
15	16	77.06
15	16	70.59
15	16	70.00
15	18	74.12
15	18	73.53
15	18	69.41
15	20	71.76
15	20	73.53
15	20	73.53
20	2	51.18
20	2	51.18
20	2	50.00
20	4	67.65
20	4	67.65
20	4	68.24
20	6	68.82
20	6	68.24
20	6	70.59
20	8	73.53
20	8	72.35
20	8	70.59
20	10	74.71
20	10	73.53
20	10	72.35
20	12	72.94
20	12	72.94
20	12	70.59
20	14	71.18
20	14	73.53
20	14	73.53
20	16	71.18
20	16	71.18
20	16	72.35
20	18	71.18
20	18	72.94
20	18	69.41
20	20	69.41
20	20	71.76
20	20	72.35
25	2	51.18
25	2	50.00
25	2	50.00
25	4	67.06
25	4	70.00
25	4	67.06
25	6	71.18
25	6	70.59
25	6	70.00
25	8	74.12
25	8	69.41
25	8	70.00
25	10	69.41
25	10	71.18
25	10	74.12
25	12	68.82
25	12	70.00
25	12	70.59
25	14	70.59
25	14	75.29
25	14	70.59
25	16	69.41
25	16	72.94
25	16	71.76
25	18	70.59
25	18	70.59
25	18	72.35
25	20	70.59
25	20	70.00
25	20	74.12
30	2	50.00
30	2	51.18
30	2	51.18
30	4	69.41
30	4	68.82
30	4	70.00
30	6	73.53
30	6	74.12
30	6	69.41
30	8	72.94
30	8	71.18
30	8	71.18
30	10	72.35
30	10	71.76
30	10	73.53
30	12	73.53
30	12	68.24
30	12	71.76
30	14	72.94
30	14	71.18
30	14	73.53
30	16	71.18
30	16	71.18
30	16	71.76
30	18	71.76
30	18	72.94
30	18	71.76
30	20	68.82
30	20	74.71
30	20	72.94
